gene_symbol,mean_normal,mean_tumor,std_normal,std_tumor,log2FC,pvalue,n_samples,padj
CRNDE,2.93,6.71,0.3,1.99,1.197,2.08e-09,25,3.34e-08
VIP,8.37,3.66,1.41,1.8,-1.192,6.97e-09,25,9.45e-08
INSL5,6.07,2.66,2.82,0.86,-1.191,1.49e-05,25,7.47e-05
SST,5.97,2.64,1.64,0.62,-1.178,3.07e-09,25,4.64e-08
BEST4,7.35,3.27,1.54,0.58,-1.171,2.53e-12,25,1.36e-10
CLCA4,7.27,3.24,0.89,1.11,-1.166,6.67e-12,25,2.93e-10
TMEM100,6.9,3.07,0.97,0.75,-1.165,6.44e-13,25,4.71e-11
ZG16,9.3,4.16,1.47,1.52,-1.161,2.89e-10,25,6.37e-09
MMP3,3.29,7.36,0.54,2.26,1.161,6.05e-09,25,8.36e-08
PCOLCE2,5.79,2.62,1.69,0.58,-1.144,3.07e-09,25,4.64e-08
PKIB,8.62,3.91,1.53,1.24,-1.14,4.62e-10,25,9.48e-09
BEST2,6.84,3.12,1.42,0.78,-1.133,4.79e-11,25,1.43e-09
CEL,2.43,5.28,0.19,2.28,1.121,2.72e-06,25,1.68e-05
GREM2,6.42,2.95,0.96,0.66,-1.12,3.69e-14,25,5.86e-12
C11orf86,6.77,3.12,1.42,0.64,-1.118,6.50e-11,25,1.84e-09
COL11A1,2.39,5.19,0.16,1.92,1.117,1.78e-07,25,1.58e-06
CEACAM7,10.28,4.74,1.5,1.53,-1.117,2.45e-10,25,5.58e-09
HRASLS2,6.21,2.86,1.88,0.72,-1.117,2.84e-08,25,3.20e-07
DHRS9,9.53,4.42,1.67,1.31,-1.108,1.40e-10,25,3.46e-09
TESC,3.42,7.37,0.45,1.67,1.108,1.38e-10,25,3.44e-09
ABCG2,6.65,3.09,1.26,0.88,-1.107,3.76e-11,25,1.19e-09
MMP1,3.36,7.24,1.1,2.14,1.107,1.79e-07,25,1.59e-06
TNXA /// TNXB,7.26,3.4,1.28,0.49,-1.096,2.10e-12,25,1.19e-10
CLDN1,3.05,6.5,0.17,0.69,1.093,1.34e-18,25,1.35e-14
MUSTN1,5.36,2.51,1.28,0.33,-1.092,1.39e-09,25,2.38e-08
SFRP1,5.59,2.62,1.01,0.27,-1.09,1.80e-12,25,1.07e-10
C2CD4A,3.24,6.9,0.39,1.62,1.09,3.47e-11,25,1.11e-09
GCG,6.19,2.91,2.11,0.58,-1.09,3.05e-07,25,2.54e-06
GUCA2A,12.08,5.69,1.38,1.5,-1.085,2.42e-12,25,1.32e-10
ETV4,3.21,6.79,0.15,0.67,1.081,4.50e-19,25,9.02e-15
CLEC3B,8.89,4.22,1.31,0.89,-1.077,1.12e-12,25,7.31e-11
UGT2B17,10.18,4.83,2.88,2.63,-1.076,1.88e-07,25,1.65e-06
CILP,6.34,3.03,1.58,1.41,-1.066,1.86e-07,25,1.64e-06
FABP6,2.64,5.51,0.25,1.85,1.062,4.54e-08,25,4.76e-07
KRT24,4.66,2.24,1.61,0.14,-1.055,1.35e-07,25,1.24e-06
TRPM6,6.75,3.25,1.35,0.71,-1.054,1.08e-10,25,2.81e-09
STMN2,6.97,3.37,1.33,0.86,-1.05,5.67e-10,25,1.13e-08
LY6G6D,2.93,6.05,0.66,2.83,1.045,1.13e-05,25,5.87e-05
VSIG2,8.19,3.98,1.3,1.24,-1.042,1.01e-09,25,1.82e-08
PYY,6.41,3.11,1.62,0.52,-1.041,2.33e-09,25,3.66e-08
AKR1B15,6.45,3.15,1.26,1.06,-1.036,1.12e-09,25,1.98e-08
C2orf88,8.83,4.32,1.1,1.05,-1.033,1.34e-12,25,8.40e-11
PLP1,5.51,2.7,1.29,0.32,-1.029,8.46e-10,25,1.56e-08
CXCL5,2.25,4.57,0.28,2.64,1.025,2.57e-04,25,9.22e-04
TEX11,5.47,2.7,1.45,0.29,-1.018,3.84e-09,25,5.61e-08
CFD,8.93,4.41,1.23,1.19,-1.018,4.53e-12,25,2.15e-10
FABP2,5.53,2.73,1.29,0.75,-1.017,2.18e-08,25,2.55e-07
NKD2,2.47,4.98,0.34,1.29,1.013,1.34e-09,25,2.31e-08
CHI3L1,3.09,6.24,0.53,1.21,1.011,9.60e-11,25,2.56e-09
AKR1B10 /// AKR1B15 /// LOC340888,7.58,3.76,1.54,1.29,-1.011,3.23e-09,25,4.84e-08
SLC4A4,6.09,3.03,0.9,0.75,-1.009,8.13e-12,25,3.41e-10
FAM55D,9.09,4.53,1.62,2.38,-1.007,4.11e-07,25,3.27e-06
CA9,2.4,4.76,0.27,2.05,0.991,4.50e-06,25,2.62e-05
LOC100127888,2.56,5.08,0.18,2.03,0.988,2.18e-06,25,1.39e-05
LOC100190940,2.34,4.64,0.19,1.42,0.984,4.67e-08,25,4.88e-07
SLC17A4,5.69,2.88,1.33,0.42,-0.984,4.80e-09,25,6.84e-08
PLN,7.68,3.88,2.34,1.39,-0.983,2.27e-06,25,1.44e-05
EPHX4,2.81,5.55,0.33,1.46,0.98,3.19e-09,25,4.79e-08
HSD17B2,9.58,4.86,1.8,1.17,-0.979,7.84e-10,25,1.47e-08
C6orf105,8.48,4.31,1.38,1.2,-0.977,2.11e-09,25,3.38e-08
GBA3,6.84,3.48,1.7,0.8,-0.976,2.31e-09,25,3.64e-08
ADH1C,10.44,5.32,1.47,2.41,-0.973,2.57e-08,25,2.94e-07
CLCA1,9.74,4.98,1.87,2.41,-0.968,1.01e-07,25,9.68e-07
NPY,5.13,2.63,0.81,0.37,-0.964,2.43e-12,25,1.32e-10
LAMA1,7.56,3.88,1.72,1.33,-0.961,3.36e-08,25,3.70e-07
ADH1A /// ADH1B /// ADH1C,10.81,5.58,0.51,2.07,-0.953,4.84e-11,25,1.44e-09
WISP2,5.31,2.76,1.19,0.44,-0.944,1.71e-09,25,2.81e-08
ABI3BP,6.87,3.58,0.91,0.85,-0.942,2.08e-11,25,7.26e-10
EDN3,6.31,3.29,1.26,0.75,-0.939,1.53e-09,25,2.57e-08
CA2,11.66,6.09,1.42,2.0,-0.938,7.72e-10,25,1.45e-08
MST1P9,4.9,2.56,1.32,0.3,-0.938,1.10e-08,25,1.40e-07
CDKN2BAS,4.93,2.57,0.99,0.34,-0.938,7.00e-10,25,1.34e-08
ANPEP,9.12,4.76,1.76,1.74,-0.937,5.59e-10,25,1.12e-08
CD36,5.54,2.9,1.0,0.58,-0.936,5.45e-11,25,1.58e-09
ANGPTL1,4.76,2.49,1.68,0.29,-0.935,1.52e-06,25,1.01e-05
C21orf88,4.8,2.52,1.57,0.47,-0.93,7.00e-07,25,5.21e-06
HPGD,8.95,4.7,0.83,1.06,-0.929,4.43e-14,25,6.58e-12
IGFBP6,6.91,3.63,1.67,1.22,-0.927,4.60e-07,25,3.60e-06
ZBTB16,4.7,2.47,1.23,0.22,-0.927,2.80e-09,25,4.30e-08
CASQ2,4.15,2.19,1.83,0.42,-0.923,5.26e-05,25,2.28e-04
C7,5.52,2.92,1.24,0.6,-0.921,6.54e-09,25,8.94e-08
COL10A1,2.21,4.19,0.12,2.14,0.921,1.42e-04,25,5.49e-04
MFAP5,6.01,3.18,1.38,1.01,-0.919,1.44e-07,25,1.32e-06
KIAA1199,2.94,5.57,0.16,0.79,0.919,1.74e-14,25,3.42e-12
MEP1B,4.49,2.38,1.92,0.27,-0.917,1.67e-05,25,8.29e-05
BCHE,4.74,2.51,1.96,0.4,-0.916,1.06e-05,25,5.55e-05
CXCL3,3.95,7.44,0.81,1.8,0.914,3.51e-09,25,5.18e-08
MT1H,8.92,4.74,1.76,1.46,-0.912,1.23e-08,25,1.56e-07
OSTBETA,8.41,4.48,1.62,1.16,-0.91,8.90e-09,25,1.17e-07
CLDN2,2.85,5.34,0.18,1.88,0.908,9.17e-07,25,6.54e-06
FAM176A,2.35,4.39,0.17,1.23,0.904,4.87e-08,25,5.05e-07
LDHD,7.12,3.81,1.24,0.71,-0.902,1.25e-10,25,3.19e-09
HSD3B2,4.55,2.44,1.99,0.2,-0.902,1.59e-05,25,7.93e-05
PDZRN4,4.34,2.33,2.3,0.39,-0.897,3.94e-04,25,0.0013
CHGA,9.68,5.21,1.45,1.53,-0.894,4.54e-09,25,6.49e-08
SKA3,2.88,5.35,0.47,0.63,0.894,6.26e-14,25,8.64e-12
MAMDC2,5.5,2.96,1.12,0.4,-0.892,4.33e-10,25,8.95e-09
HHLA2,7.37,3.97,1.51,0.97,-0.892,2.84e-09,25,4.36e-08
ITLN1,9.31,5.02,1.78,2.75,-0.891,7.96e-06,25,4.32e-05
LOC646627,10.74,5.8,1.5,1.95,-0.889,1.83e-08,25,2.20e-07
RSAD2,6.07,3.29,1.71,0.59,-0.886,1.01e-08,25,1.31e-07
PDE9A,7.73,4.18,0.66,0.98,-0.886,4.42e-13,25,3.65e-11
GPM6A,4.11,2.22,1.93,0.59,-0.886,2.37e-04,25,8.61e-04
SFRP2,6.81,3.68,1.64,2.0,-0.886,5.43e-05,25,2.35e-04
CDH3,3.44,6.34,0.37,0.8,0.882,7.83e-15,25,2.01e-12
PDE6A,5.21,2.84,1.16,0.32,-0.879,3.70e-10,25,7.84e-09
UGT2B15,9.49,5.16,2.56,2.04,-0.879,3.79e-07,25,3.04e-06
SCG2,6.23,3.39,1.09,1.16,-0.878,2.77e-08,25,3.13e-07
SRPX,7.89,4.3,1.22,0.84,-0.878,4.13e-11,25,1.28e-09
RSPO2,4.8,2.61,1.13,0.29,-0.878,6.06e-09,25,8.36e-08
TNFRSF17,5.28,2.87,1.55,1.21,-0.877,1.04e-05,25,5.47e-05
TRIM29,2.82,5.18,0.26,1.18,0.877,4.83e-10,25,9.82e-09
DES,7.52,4.1,2.82,1.25,-0.874,2.84e-05,25,1.32e-04
ERCC6L,2.74,5.02,0.41,0.81,0.874,4.59e-13,25,3.77e-11
MT1E,5.92,3.24,0.54,1.34,-0.87,2.90e-09,25,4.43e-08
AKR1C1,5.91,3.23,1.36,1.37,-0.87,1.60e-06,25,1.06e-05
CHP2,9.36,5.12,1.53,1.54,-0.869,9.00e-09,25,1.18e-07
MMP28,6.57,3.63,0.69,0.6,-0.856,3.01e-13,25,2.68e-11
TCEAL2,5.04,2.79,2.05,0.63,-0.855,6.19e-05,25,2.64e-04
GDF15,5.01,9.06,1.18,1.31,0.854,1.16e-11,25,4.48e-10
PTN,6.44,3.57,1.36,0.93,-0.851,3.28e-09,25,4.90e-08
IL8,3.88,7.0,0.92,1.6,0.851,1.69e-07,25,1.52e-06
HOMER1,2.69,4.84,0.38,0.83,0.847,1.70e-10,25,4.10e-09
RGS13,5.26,2.93,1.17,1.32,-0.847,1.78e-06,25,1.16e-05
NEFL,4.01,2.24,1.58,0.19,-0.844,1.89e-05,25,9.23e-05
CNTN3,5.25,2.93,0.58,0.79,-0.844,1.33e-09,25,2.30e-08
SULT2B1,2.36,4.24,0.25,0.9,0.843,7.02e-10,25,1.34e-08
ENTPD5,6.48,3.62,1.31,0.92,-0.84,2.62e-07,25,2.22e-06
HEPACAM2,8.58,4.79,1.57,2.38,-0.839,2.83e-06,25,1.74e-05
MMRN1,4.98,2.79,1.04,0.75,-0.838,2.85e-08,25,3.20e-07
NAP1L2,4.31,2.42,0.93,0.26,-0.835,1.12e-09,25,1.98e-08
AKR1B10 /// AKR1B15,8.66,4.86,1.53,1.38,-0.834,1.90e-08,25,2.28e-07
LYVE1,5.97,3.35,1.18,0.25,-0.833,2.69e-10,25,6.02e-09
SLIT3,5.03,2.83,1.08,0.7,-0.833,4.52e-08,25,4.74e-07
BEX1,5.99,3.37,1.59,0.57,-0.828,2.05e-07,25,1.78e-06
HSPB3,4.54,2.56,1.23,0.39,-0.828,3.04e-07,25,2.53e-06
ESM1,2.23,3.96,0.12,0.88,0.828,1.69e-09,25,2.79e-08
CTSG,5.22,2.95,1.04,0.43,-0.826,9.59e-10,25,1.74e-08
RUNDC3B,6.7,3.78,0.69,0.77,-0.825,2.66e-12,25,1.41e-10
MYOT,4.81,2.72,0.85,0.28,-0.823,2.37e-10,25,5.43e-09
LRP8,3.28,5.8,0.22,0.95,0.822,2.01e-12,25,1.15e-10
MSX2,3.11,5.49,0.2,1.22,0.822,9.62e-10,25,1.74e-08
LGALS2,8.56,4.85,1.53,1.93,-0.82,2.36e-06,25,1.49e-05
EGFL6,2.64,4.65,0.25,1.25,0.82,2.00e-08,25,2.38e-07
MMP10,2.1,3.69,0.16,1.64,0.813,7.94e-05,25,3.29e-04
JUB,2.67,4.68,0.33,0.75,0.811,3.90e-11,25,1.22e-09
PRIMA1,4.35,2.48,0.93,0.3,-0.81,5.05e-09,25,7.12e-08
FAM55A,7.29,4.16,1.36,1.46,-0.809,4.81e-07,25,3.74e-06
MYOC,4.29,2.45,1.14,0.2,-0.809,6.59e-08,25,6.60e-07
SCN9A,4.19,2.4,0.54,0.29,-0.808,7.81e-13,25,5.49e-11
FAM23A,7.18,4.11,1.2,0.93,-0.804,2.79e-08,25,3.15e-07
UGT1A1 /// UGT1A10 /// UGT1A3 /// UGT1A4 /// UGT1A5 /// UGT1A6 /// UGT1A7 /// UGT1A8 /// UGT1A9,7.94,4.55,1.52,1.46,-0.803,1.35e-07,25,1.25e-06
FHL1,6.85,3.93,1.8,0.84,-0.801,3.62e-07,25,2.93e-06
BRCA2,2.32,4.03,0.24,0.6,0.798,1.56e-12,25,9.55e-11
CENPH,3.29,5.7,0.66,0.68,0.795,1.25e-13,25,1.41e-11
SRPX2,3.29,5.72,0.55,1.84,0.795,1.63e-06,25,1.07e-05
ELAVL4,4.7,2.71,1.43,0.32,-0.794,1.80e-06,25,1.17e-05
ANXA9,2.47,4.27,0.21,1.03,0.794,3.28e-08,25,3.63e-07
ASCL2,5.52,9.57,0.89,0.86,0.793,3.04e-15,25,9.81e-13
MACC1,3.34,5.79,0.53,0.74,0.793,1.69e-12,25,1.02e-10
DSCR6,2.26,3.91,0.17,1.37,0.787,6.83e-06,25,3.78e-05
REP15,7.19,4.17,1.3,1.72,-0.787,1.07e-06,25,7.46e-06
CGREF1,2.72,4.69,0.23,0.79,0.786,2.19e-11,25,7.57e-10
VSNL1,3.84,6.62,0.44,1.26,0.785,2.71e-11,25,8.99e-10
CNN1,7.11,4.13,2.81,1.09,-0.783,1.04e-04,25,4.17e-04
FXYD1,5.26,3.06,0.93,0.29,-0.781,2.43e-11,25,8.22e-10
SDPR,7.69,4.48,1.62,0.97,-0.781,2.08e-08,25,2.46e-07
DES /// FAM48A,8.57,4.99,2.64,1.29,-0.78,8.86e-06,25,4.74e-05
SCGN,4.76,2.78,0.99,0.22,-0.778,1.57e-09,25,2.63e-08
GDPD2,4.19,2.45,1.05,0.29,-0.778,1.68e-07,25,1.50e-06
LGR5,3.55,6.09,0.58,1.56,0.778,2.95e-07,25,2.47e-06
SCRG1,4.05,2.37,2.46,0.46,-0.776,0.0035,25,0.0091
NFE2L3,4.37,7.47,0.66,0.67,0.775,5.62e-14,25,8.09e-12
ANLN,3.62,6.17,0.39,0.64,0.771,5.48e-16,25,3.05e-13
LMOD1,4.78,2.81,1.96,0.49,-0.77,1.14e-04,25,4.54e-04
TCEAL7,4.82,2.83,1.66,0.85,-0.769,1.07e-04,25,4.28e-04
UGT2A3,5.37,3.15,0.97,0.9,-0.769,3.72e-07,25,2.99e-06
MFAP4,6.54,3.84,1.34,1.16,-0.769,6.21e-07,25,4.68e-06
HAND2,5.01,2.95,1.66,0.68,-0.766,2.59e-05,25,1.22e-04
PENK,3.86,2.27,2.55,0.57,-0.764,0.0092,25,0.0213
SCUBE2,5.42,3.19,0.86,0.71,-0.763,2.60e-09,25,4.04e-08
BTNL8,7.04,4.16,2.53,1.3,-0.761,2.60e-06,25,1.62e-05
AGTR1,4.02,2.37,1.61,0.57,-0.76,2.21e-04,25,8.08e-04
C14orf176,5.47,3.23,1.04,0.8,-0.76,4.72e-07,25,3.68e-06
KIF14,2.98,5.04,0.34,0.82,0.76,1.14e-11,25,4.44e-10
BTNL3,7.13,4.21,1.4,0.88,-0.759,4.99e-08,25,5.15e-07
PEG3,5.97,3.53,1.38,0.77,-0.758,2.61e-07,25,2.21e-06
HSPB8,5.85,3.46,2.41,0.76,-0.758,2.81e-04,25,9.99e-04
AURKA /// AURKAPS1,3.94,6.66,0.69,0.89,0.757,2.01e-13,25,2.00e-11
SCIN,7.76,4.59,1.35,1.19,-0.757,1.35e-08,25,1.71e-07
PSAT1,3.26,5.5,0.23,1.0,0.754,2.42e-10,25,5.52e-09
LIFR,4.62,2.74,0.55,0.3,-0.753,4.88e-13,25,3.92e-11
TCN1,2.44,4.1,0.13,2.52,0.751,0.0033,25,0.0086
IGSF10,3.85,2.29,1.03,0.25,-0.751,2.32e-07,25,1.99e-06
GDPD3,6.56,3.91,1.32,0.99,-0.748,4.48e-07,25,3.52e-06
PPM1H,4.04,6.79,0.59,0.63,0.747,2.61e-14,25,4.71e-12
FAM72A /// FAM72B /// FAM72C /// FAM72D,2.83,4.74,0.31,0.72,0.747,6.94e-13,25,5.04e-11
SCGB2A1,5.8,3.45,1.5,1.3,-0.747,3.54e-05,25,1.61e-04
INHBA,3.05,5.12,0.21,1.07,0.745,7.67e-10,25,1.44e-08
CCDC80,5.95,3.55,1.4,1.11,-0.744,5.68e-06,25,3.21e-05
AKR1C1 /// AKR1C2,7.26,4.34,0.87,1.47,-0.744,1.34e-08,25,1.69e-07
AKR1B10,10.06,6.02,1.68,1.82,-0.74,1.53e-07,25,1.38e-06
LRRC19,7.51,4.5,1.36,1.09,-0.74,2.15e-07,25,1.86e-06
ARNTL2,2.87,4.79,0.31,0.93,0.739,5.16e-09,25,7.25e-08
MAB21L1,3.6,2.16,1.0,0.18,-0.738,3.36e-07,25,2.75e-06
CXCL12,7.18,4.31,1.19,0.96,-0.738,2.06e-09,25,3.31e-08
SYNPO2,5.58,3.35,1.72,0.65,-0.737,5.45e-06,25,3.10e-05
CPT1A /// RDH5,5.83,3.5,0.49,0.6,-0.737,2.68e-14,25,4.79e-12
CDKN2B,6.28,3.77,0.92,0.71,-0.736,9.33e-10,25,1.70e-08
CKAP2L,2.81,4.67,0.25,0.66,0.733,3.68e-13,25,3.16e-11
NKX2-3,6.16,3.71,1.22,0.94,-0.731,3.92e-08,25,4.21e-07
RERG,4.82,2.91,1.63,0.89,-0.73,1.30e-04,25,5.09e-04
IFIT1,8.7,5.24,1.45,0.87,-0.73,4.29e-10,25,8.91e-09
ACSL6,2.28,3.79,0.11,0.96,0.729,5.52e-08,25,5.64e-07
CXCL11,3.1,5.14,0.73,1.93,0.727,8.09e-06,25,4.38e-05
EPB41L3,5.98,3.61,0.36,0.63,-0.726,9.79e-16,25,4.66e-13
TDGF1 /// TDGF3,4.64,7.66,0.65,1.26,0.725,1.13e-10,25,2.94e-09
GZMB,3.36,5.55,0.7,1.72,0.725,3.66e-06,25,2.19e-05
PDX1,2.65,4.37,0.16,0.45,0.724,6.73e-16,25,3.55e-13
TRIB3,3.47,5.73,0.25,0.65,0.722,4.47e-14,25,6.58e-12
SPC25,4.26,7.03,0.99,0.69,0.721,2.41e-12,25,1.32e-10
PTGDR,4.59,2.78,0.8,1.16,-0.721,1.05e-06,25,7.34e-06
PLCL2,4.89,2.97,0.74,0.59,-0.719,8.64e-11,25,2.35e-09
PDLIM3,6.43,3.9,2.36,1.39,-0.719,4.86e-04,25,0.0016
APOC2,3.2,5.25,0.62,1.6,0.717,1.14e-06,25,7.86e-06
FAM150B,5.99,3.65,0.63,1.24,-0.717,9.20e-08,25,8.87e-07
MYH11,7.67,4.67,1.88,0.93,-0.716,1.64e-07,25,1.47e-06
MEOX2,4.44,2.7,1.48,0.94,-0.715,1.50e-04,25,5.76e-04
NBEA,4.34,2.64,1.59,0.71,-0.715,5.83e-05,25,2.50e-04
SERPINB5,2.64,4.33,0.42,1.04,0.715,9.23e-08,25,8.90e-07
TLR3,5.5,3.36,0.75,0.82,-0.713,3.99e-09,25,5.80e-08
CCL21,6.23,3.8,1.26,0.99,-0.713,2.18e-07,25,1.89e-06
SI,5.45,3.32,1.03,1.2,-0.713,1.41e-06,25,9.45e-06
UCHL1,5.53,3.38,1.43,0.59,-0.711,1.56e-06,25,1.03e-05
CTSE,5.26,3.21,1.36,1.75,-0.71,9.59e-04,25,0.0029
LMO3,4.04,2.47,1.73,0.43,-0.71,3.91e-04,25,0.0013
LGI1,3.81,2.33,0.67,0.14,-0.71,3.57e-10,25,7.62e-09
AQP7 /// AQP7P1 /// AQP7P2 /// LOC100132938,5.02,3.07,0.78,0.26,-0.709,1.68e-11,25,6.12e-10
HPGDS,4.38,2.68,0.61,0.31,-0.708,6.77e-11,25,1.90e-09
GYLTL1B,2.44,3.98,0.19,1.05,0.706,3.52e-07,25,2.86e-06
PRPH,6.06,3.72,1.52,0.51,-0.705,3.96e-07,25,3.17e-06
RTEL1 /// TNFRSF6B,3.7,6.03,0.31,1.67,0.705,5.30e-07,25,4.09e-06
CDO1,4.04,2.48,1.29,0.41,-0.705,1.69e-05,25,8.34e-05
TAGLN3,3.9,2.4,1.79,0.22,-0.703,4.74e-04,25,0.0016
GPX3,6.85,4.21,1.35,0.94,-0.701,5.50e-08,25,5.63e-07
REG1B,2.77,4.5,0.5,2.69,0.7,0.0053,25,0.0131
PIGZ,7.33,4.52,1.17,0.86,-0.7,4.45e-09,25,6.39e-08
GEFT,5.3,3.27,1.99,0.75,-0.697,1.99e-04,25,7.40e-04
AFF3,4.0,2.47,0.54,0.24,-0.695,8.97e-12,25,3.69e-10
TGIF2,3.78,6.11,0.44,0.84,0.695,2.71e-11,25,8.99e-10
POPDC2,5.37,3.32,2.6,0.81,-0.695,0.0019,25,0.0054
P2RY14,6.18,3.82,0.87,0.68,-0.694,2.31e-10,25,5.34e-09
RAET1L /// ULBP2,2.76,4.46,0.28,1.06,0.693,1.41e-07,25,1.29e-06
PLIN1,4.08,2.53,1.23,0.17,-0.692,2.93e-06,25,1.80e-05
DIAPH3,3.68,5.95,0.57,0.67,0.692,4.75e-11,25,1.42e-09
ASPHD1,2.43,3.93,0.28,1.06,0.692,3.30e-07,25,2.71e-06
REG3A,2.85,4.61,1.51,2.83,0.692,0.0198,25,0.0415
C16orf89,5.56,3.44,0.73,0.45,-0.692,1.17e-10,25,3.03e-09
KIF20A,3.74,6.04,0.57,0.71,0.691,3.77e-12,25,1.86e-10
GDF15 /// LOC100292463,6.05,9.77,1.19,1.09,0.691,5.02e-12,25,2.34e-10
TUBAL3,5.41,3.35,1.18,0.46,-0.691,2.87e-07,25,2.41e-06
STOX2,4.56,2.83,0.63,0.38,-0.691,7.31e-11,25,2.03e-09
SULT1B1,7.07,4.38,1.36,1.33,-0.69,5.14e-06,25,2.95e-05
SLC26A3,12.95,8.04,1.06,3.01,-0.689,2.30e-07,25,1.97e-06
TMEM35,4.67,2.9,1.84,0.38,-0.688,5.56e-05,25,2.40e-04
CCBE1,3.84,2.39,1.61,0.2,-0.685,2.84e-04,25,0.0010
CENPA,3.93,6.31,0.61,0.78,0.685,1.02e-13,25,1.24e-11
FAM54A,4.11,6.6,0.7,0.65,0.684,2.28e-12,25,1.28e-10
CST1,2.43,3.9,0.3,1.75,0.684,2.50e-04,25,9.00e-04
OMD,4.25,2.65,1.22,0.84,-0.682,3.92e-05,25,1.76e-04
CPM,5.34,3.33,0.7,0.49,-0.681,5.00e-11,25,1.48e-09
ST6GALNAC6,5.08,3.17,1.01,0.34,-0.68,1.87e-08,25,2.24e-07
DNASE1L3,6.54,4.09,1.4,1.18,-0.679,1.08e-05,25,5.65e-05
KRT6B,2.73,4.36,0.15,1.8,0.677,1.69e-04,25,6.42e-04
BUB1,4.65,7.43,0.89,0.7,0.676,1.89e-12,25,1.10e-10
FCGBP,11.72,7.34,1.43,3.17,-0.676,5.90e-06,25,3.32e-05
MTHFD1L,4.39,7.01,0.38,0.46,0.676,8.28e-17,25,8.73e-14
DARC,6.28,3.94,1.02,0.8,-0.674,2.37e-08,25,2.74e-07
FCER1A,4.98,3.12,1.17,0.5,-0.673,8.92e-08,25,8.62e-07
TRIP13,4.83,7.7,0.5,0.58,0.673,5.42e-16,25,3.05e-13
TMEM37,7.43,4.66,1.2,0.84,-0.672,1.84e-08,25,2.21e-07
SLC38A5,3.49,5.56,0.58,1.47,0.672,7.25e-07,25,5.36e-06
S100A2,3.36,5.35,0.23,1.72,0.67,1.03e-05,25,5.41e-05
AZGP1,4.91,7.81,1.04,1.28,0.669,9.24e-10,25,1.69e-08
PADI2,5.93,3.73,0.82,0.61,-0.668,9.27e-10,25,1.69e-08
TEAD4,4.73,7.51,0.36,0.61,0.665,1.05e-17,25,2.73e-14
ADRA2A,7.16,4.51,1.03,1.61,-0.665,2.15e-07,25,1.86e-06
SHCBP1,3.18,5.04,0.38,0.51,0.664,3.47e-14,25,5.72e-12
CXCL1 /// CXCL2,3.22,5.1,0.38,1.38,0.663,1.34e-07,25,1.23e-06
AGT,3.44,5.44,0.38,1.56,0.663,4.86e-06,25,2.81e-05
SEMA6A,6.3,3.98,0.51,1.03,-0.663,4.85e-09,25,6.90e-08
KIF18A,3.6,5.7,0.4,0.76,0.663,6.55e-12,25,2.90e-10
RNF183,2.7,4.27,0.32,1.11,0.661,2.86e-07,25,2.41e-06
THBS4,4.94,3.13,2.78,1.43,-0.66,0.0154,25,0.0334
CCL14 /// CCL14-CCL15 /// CCL15,7.65,4.84,0.63,0.58,-0.66,3.02e-14,25,5.22e-12
